artifact_path,artifact_type,created_at,source_script,required_for_thesis,chapter,notes,exists_on_disk,run_id,producer_source_sha,file_hash
README.md,documentation,2026-06-12T21:37:59.922513+00:00,manual-doc,True,Front Matter,Project overview and reproducibility entry point,True,20260613T001946Z-0bb4ce5,0bb4ce5,3129f1978ea50720049be325ccef5bdf5aa095f7e0f247f2f449751f591efa58
data/processed/feature_columns.json,metadata,2026-06-13T00:20:42.733433+00:00,scripts/build_dataset.py,True,Chapter 3 - Data And Methods,Leakage-safe feature registry,True,20260613T001946Z-0bb4ce5,0bb4ce5,a742b786d432ff137d4bc3a6adfaffbd95df61d3c6381f19573eab5234a4a226
data/processed/modeling_dataset.csv,dataset,2026-06-13T00:20:42.701427+00:00,scripts/build_dataset.py,True,Chapter 3 - Data And Methods,Canonical matched-episode modeling dataset,True,20260613T001946Z-0bb4ce5,0bb4ce5,3022e51496a4ab98f93d68f6dd22804cc460b4588492f770fe3979e2f2954223
data/processed/target_columns.json,metadata,2026-06-13T00:20:42.734432+00:00,scripts/build_dataset.py,True,Chapter 3 - Data And Methods,Canonical classification and timing target registry,True,20260613T001946Z-0bb4ce5,0bb4ce5,d4012b0cc0c62faf12935d71aa8ba9baa3db70df764cb355773cb7e3fef2ffd1
docs/METHODOLOGY.md,documentation,2026-06-12T18:38:02.432916+00:00,manual-doc,True,Chapter 3 - Data And Methods,Final thesis methodology,True,20260613T001946Z-0bb4ce5,0bb4ce5,d8118b3a77c4e946bc78508aac264d51dda7a4aa67b2639e31451bdd5e80ffcb
docs/RESULTS.md,documentation,2026-06-12T18:43:02.921651+00:00,manual-doc,True,Chapter 4 - Results,Final thesis results,True,20260613T001946Z-0bb4ce5,0bb4ce5,2f2d972fc007398831f7c41b9a037e14339a39a0c6d91a0d793435d824fdcd6b
docs/target_definitions.md,documentation,2026-06-09T17:45:24.205148+00:00,manual-doc,True,Chapter 3 - Data And Methods,Canonical predictive target definitions,True,20260613T001946Z-0bb4ce5,0bb4ce5,3984d4a0c5f6ed0c8b6196fb76475ec5206be04fa09b392e8b95de6bac50ddf7
models/advanced/classification/cats/catboost.joblib,model,2026-06-13T00:40:21.226314+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,c8c29465e2e245b62f0a4a81c84ee4a40c901960ba5d0dc9d289ce3468d74921
models/advanced/classification/cats/catboost.json,metadata,2026-06-13T00:40:21.233315+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,6e5b8d1a892b904f1f2a371d276e7df39253887aec0f3a8d1e7295034a2f58e0
models/advanced/classification/combined/catboost.joblib,model,2026-06-13T00:39:35.182155+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,531e015e3f94256489f7e726bd2a5b57bb4d9543194143e12bb20882b4cdc73e
models/advanced/classification/combined/catboost.json,metadata,2026-06-13T00:39:35.189657+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,d00efb26341375f616c666ee83ec89b96dced30f03b880dcb469f596f351e073
models/advanced/classification/dogs/catboost.joblib,model,2026-06-13T00:39:58.350984+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,1b33ea479195d66efd0070e16b4423bdd9332cf7ec23bacb4ac4a8520c127573
models/advanced/classification/dogs/catboost.json,metadata,2026-06-13T00:39:58.358485+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,032faec196716c725cbab3ad4b36cdc210d6b165f47e74d4c56796f929a71df2
models/baseline/regression/cats/random_forest.joblib,model,2026-06-13T00:27:19.461035+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,88eab0f5c2617b984c8191d2b4336286b3d9bb68879efe96658cf3e5cf4fe5c2
models/baseline/regression/cats/random_forest.json,metadata,2026-06-13T00:27:19.500542+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,cdc98b5be76de2754534392c66bcc18db83c531735fb5ecc91cd6706919c9390
models/baseline/regression/combined/random_forest.joblib,model,2026-06-13T00:25:11.690825+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,d469e2bae43e728cf7fe2baa47b7ad274a1ba88bc43cf511f04408dc007e3dc0
models/baseline/regression/combined/random_forest.json,metadata,2026-06-13T00:25:11.764837+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,06388e7d7722737081b767219ca5a4665d1e9f9e74470c9d66e3f1d10c0dd8ff
models/baseline/regression/dogs/random_forest.joblib,model,2026-06-13T00:26:11.529726+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model artifact,True,20260613T001946Z-0bb4ce5,0bb4ce5,5ff65a74a9c1fc291943359aef0c6c9f86c30c65424bfb6dd2ccdeaa68074532
models/baseline/regression/dogs/random_forest.json,metadata,2026-06-13T00:26:11.560732+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selected final model metadata sidecar,True,20260613T001946Z-0bb4ce5,0bb4ce5,2d0f2df71bdcae9007b2831a3956e57383b204babe2631b5367d78d4c6566771
reports/figures/feature_family_importance_classification.png,figure,2026-06-13T00:45:48.796011+00:00,scripts/generate_feature_family_importance.py,True,Chapter 5 — Interpretation,Feature family bar chart — classification,True,20260613T001946Z-0bb4ce5,0bb4ce5,32bd04daa439af016eec4df9463eb47ea6ea69db03e6ea62d515c4b6a87a512d
reports/summary/breed_color_justification.md,report,2026-06-13T00:43:45.776317+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,Breed and coat colour engineering justification report,True,20260613T001946Z-0bb4ce5,0bb4ce5,5a510480780d8319fc4562d283b6b2f1981ef9e1b6b866e1ad43746bd1b1809b
reports/summary/descriptive_baseline_comparison.md,report,2026-06-13T00:43:45.776817+00:00,scripts/run_analysis.py,True,Chapter 4 — Model Evaluation,Non-ML descriptive baseline vs ML model comparison report,True,20260613T001946Z-0bb4ce5,0bb4ce5,92496a09ae1dccc246525c28e2349eefda7c9c46e80e81b3e054fe012355dc4c
reports/summary/environment_snapshot.md,report,2026-06-13T00:19:47.110494+00:00,scripts/generate_environment_snapshot.py,True,Appendix,Human-readable environment snapshot for appendix inclusion,True,20260613T001946Z-0bb4ce5,0bb4ce5,e83f0a58a370c6c65e89befafb033afafea0449cb2c1013210c2b63f5f4879f4
reports/summary/external_validity_limitations.md,report,2026-06-13T00:43:45.775817+00:00,scripts/run_analysis.py,True,Chapter 5 — Interpretation,External validity and causal limitations report,True,20260613T001946Z-0bb4ce5,0bb4ce5,e155f24598f2c11b3a6f4c9b8cbf3ef085fc842743129d79a4f8cd45ded8456b
reports/summary/final_model_selection.md,report,2026-06-13T00:43:56.776816+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Selection rules and selected-model rationale,True,20260613T001946Z-0bb4ce5,0bb4ce5,48700c52d80f43dec9e606a25c81c6c992336e4e5d2386b4e4164cac847af4d5
reports/summary/h2_interpretation.md,report,2026-06-13T00:43:50.232592+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H2 evidence seasonality summary report,True,20260613T001946Z-0bb4ce5,0bb4ce5,27b6f82678064b4ee9f0efeae8728f98f4779502327d1bfb9c2d59f1184137e2
reports/summary/h4_interpretation.md,report,2026-06-13T00:43:51.426799+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H4 evidence coat colour summary report,True,20260613T001946Z-0bb4ce5,0bb4ce5,fa1fc33a6b0f90a6df1421c6dec99df333f47b044d6d68727edc7c202831f8ff
reports/summary/local_explanation_examples.md,report,2026-06-13T00:45:43.812645+00:00,scripts/generate_evidence_pack.py,True,Chapter 5 - Interpretation,Narrative summary of local explanation examples with causal limitations,True,20260613T001946Z-0bb4ce5,0bb4ce5,45cf850e394fb424676fba6b0f4ad5e28b96b00dd1e87aa08465b147e5492ddb
reports/summary/model_evidence_pack.md,report,2026-06-13T00:45:43.811644+00:00,scripts/generate_evidence_pack.py,True,Chapter 4 — Model Evaluation,Narrative model evidence summary,True,20260613T001946Z-0bb4ce5,0bb4ce5,4f86e998f163447b0e6d0b63e63b3660d87ecfc9096b874daa21b4b481a236a3
